StartDate;End Date;Recorded Date;Survey_duration;Survey_finished;Gender;Age;Residence;Goal;Event;NPS.Catego;Number of nigths Madrid;NPS 1-10;Satisfaction Event (1-5);Odds Attendance (1-5);Odds Other RnR (1-5);Odds Other Race (1-5);SatisfactionPreRace - Online Registration Process;SatisfactionPreRace - Website;SatisfactionPreRace - On-site Registration (Check-in/packet pick-up);SatisfactionPreRace - Pre-Race Communications;SatisfactionPreRace - Health & Fitness Expo Vendor Selection;SatisfactionPreRace - Health & Fitness Expo Location;SatisfactionPreRace - Health & Fitness Expo Hours of Operation;Satisfaction Race: - Start Line Experience;Satisfaction Race: - Start Line Corral Management;Satisfaction Race: - Race Announcements;Satisfaction Race: - Event Security;Satisfaction Race: - Run Course Support (Staff/Volunteers);Satisfaction Race: - Spectator Viewing Points;Satisfaction Race: - Overall Course Design (out and back, point to point, hilly, flat, etc.);Satisfaction Race: - Overall Course Scenery;Satisfaction Race: - Overall Course Music/ Entertainment;Satisfaction Race: - Toilets on Course;Satisfaction Race: - Visibility of Mile Markers;Satisfaction Race: - Directional Signage;Satisfaction Race: - Road Conditions;Satisfaction Race: - Location of Aid Stations;Satisfaction Race: - Number of Aid Stations;Satisfaction Race: - Overall Post-Race Experience;Satisfaction Race: - Post-Race Location;Satisfaction Race: - Finish Line (Runner Secure Zone);Satisfaction Race: - Finish Line Food Selection;Satisfaction Race: - Finish Line Beverage Selection;Satisfaction Event: - Post-Race Communications (digital, emails, etc.);Satisfaction Event:: - Parking & Transportation;Satisfaction Event: - Event Staff;Satisfaction Event: - T-Shirt;Satisfaction Event: - Medal;Satisfaction Event: - Merchandise;Satisfaction Event: - Overall Event Atmosphere;How do these elements of the race compare to your experience with other running events? If this is your first running event, please skip to the next question. - Value for Entry Fee;How do these elements of the race compare to your experience with other running events? If this is your first running event, please skip to the next question. - Unique Experience;How do these elements of the race compare to your experience with other running events? If this is your first running event, please skip to the next question. - Organization;How do these elements of the race compare to your experience with other running events? If this is your first running event, please skip to the next question. - Customer Service;Please add anymore factors that influence your decision to participate in an event. Please let us know how important these factors are when deciding on event participation.;What was your primary goal on race day? - Selected Choice;What was your primary goal on race day? - Other - Text;How many Rock 'n' Roll Running Series events have you participated in (including this year's event)?;What did you enjoy most about your Rock 'n' Roll experience?;What improvements can we make to enhance your Rock 'n' Roll experience?;What is your gender?;What is your age?;Which are the first three brands that come to mind as sponsors of the Rock 'n' Roll running Series Madrid. If you do not remember 3, indicate only those you remember - 1;Which are the first three brands that come to mind as sponsors of the Rock 'n' Roll running Series Madrid. If you do not remember 3, indicate only those you remember - 2;Which are the first three brands that come to mind as sponsors of the Rock 'n' Roll running Series Madrid. If you do not remember 3, indicate only those you remember - 3;Please select all the brands you recognize as sponsors of the event. (Select all that apply);How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Zurich;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Adidas;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Ibercaja;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Total Energies;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Samsung;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Hyundai;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Ayuntamiento de Madrid;How does the association of these brands with the Zurich Rock 'n' Roll Running Series Madrid impact your opinion of them? - Comunidad de Madrid;I have heard about the brand.... - Zurich;I have heard about the brand.... - Adidas;I have heard about the brand.... - Ibercaja;I have heard about the brand.... - Total Energies;I have heard about the brand.... - Samsung;I have heard about the brand.... - Hyundai;When I think about purchasing/using a product/service, is it one of the brands/companies that comes to mind? - Zurich;When I think about purchasing/using a product/service, is it one of the brands/companies that comes to mind? - Adidas;When I think about purchasing/using a product/service, is it one of the brands/companies that comes to mind? - Ibercaja;When I think about purchasing/using a product/service, is it one of the brands/companies that comes to mind? - Total Energies;When I think about purchasing/using a product/service, is it one of the brands/companies that comes to mind? - Samsung;When I think about purchasing/using a product/service, is it one of the brands/companies that comes to mind? - Hyundai;How often do you consume or use a product/service of the brand/company? - Zurich;How often do you consume or use a product/service of the brand/company? - Adidas;How often do you consume or use a product/service of the brand/company? - Ibercaja;How often do you consume or use a product/service of the brand/company? - Total Energies;How often do you consume or use a product/service of the brand/company? - Samsung;How often do you consume or use a product/service of the brand/company? - Hyundai;"How satisfied are you with the products/services offered by this brand/company?

ONLY BRANDS OF WHICH YOU HAVE BEEN OR ARE A USER - Zurich";"How satisfied are you with the products/services offered by this brand/company?

ONLY BRANDS OF WHICH YOU HAVE BEEN OR ARE A USER - Adidas";"How satisfied are you with the products/services offered by this brand/company?

ONLY BRANDS OF WHICH YOU HAVE BEEN OR ARE A USER - Ibercaja";"How satisfied are you with the products/services offered by this brand/company?

ONLY BRANDS OF WHICH YOU HAVE BEEN OR ARE A USER - Total Energies";"How satisfied are you with the products/services offered by this brand/company?

ONLY BRANDS OF WHICH YOU HAVE BEEN OR ARE A USER - Samsung";"How satisfied are you with the products/services offered by this brand/company?

ONLY BRANDS OF WHICH YOU HAVE BEEN OR ARE A USER - Hyundai";Where do you reside?;How many nights will you stay in Madrid city?;How many people accompanied you during your stay in Madrid city (family, friends, etc.)?;Please estimate the below using Euros: - How much did you and your group spend on accommodation in Madrid for the whole trip?;Please estimate the below using Euros: - How much did you and your group spend on food and beverage in bars and restaurants in Madrid for the whole trip?;Please estimate the below using Euros: - How much did you and your group spend on transportation to get to Madrid from your origin and vice versa?;Please estimate the below using Euros: - How much did you and your group spend on local transportation during your stay in Madrid (taxi, bus, metro, etc.)?;Please estimate the below using Euros: - How much did you and your group spend on leisure/entertainment activities in Madrid?;Please estimate the below using Euros: - How much did you and your group spend on shopping/souvenirs in Madrid?;Please estimate the below using Euros: - Specifically, how much did you spend in the shops of Expodepor (during picking up your bib number)?;ONLY RESIDENTS OUTSIDE THE COMMUNITY OF MADRID OR FOREIGNERS. From 0 to 10, (0 being completely disagree and 10 being completely agree), rate the following questions. - How likely are you to recommend the city of Madrid as tourist destination to a friend or colleague?;ONLY RESIDENTS OUTSIDE THE COMMUNITY OF MADRID OR FOREIGNERS. From 0 to 10, (0 being completely disagree and 10 being completely agree), rate the following questions. - I will return to Madrid in the near future
26/4/23 4:24;26/4/23 4:29;26/4/23 4:29;311;1;Male;30-34;Madrid's Area;To set a new PR;Half Marathon;Promoter;11;9;5;2;2;5;5;2;4;5;2;4;2;5;5;5;5;5;2;5;5;2;2;5;5;5;5;5;2;5;5;5;5;5;5;2;5;5;5;5;3;4;5;5;;To set a new PR;;1;La animación y la buena organización, además del recorrido mítico y pintoresco;Trasladar la recogida del dorsal a un punto más céntrico;1;4;Platano de canarias;Zurich;Mapoma;1,77,78,80,81,82,84,89,93,94,103,104,106;3;2;2;2;2;2;2;2;5;5;5;5;5;5;4;3;4;4;2;4;4;3;3;1;3;2;4;5;5;4;3;5;1;11;2;0;70;10;0;12;0;0;;
26/4/23 4:22;26/4/23 4:30;26/4/23 4:30;462;1;Male;40-44;Madrid's Area;To finish!;Marathon;Promoter;0;9;5;2;3;2;2;2;3;2;5;5;2;4;4;2;4;5;2;4;4;4;5;5;5;2;5;5;4;2;4;4;4;2;3;3;2;5;3;2;3;3;3;3;;To finish!;;11;;La bebida entregada en la meta estaba caliente por estar al sol.;1;6;;;;78,81,84,89,90,92;2;2;2;2;2;2;2;2;4;5;5;5;5;5;3;3;1;1;1;1;1;2;1;1;1;1;;3;;;2;;1;0;0;;;;;;;;;
26/4/23 4:22;26/4/23 4:31;26/4/23 4:31;506;1;Male;35-39;Madrid's Area;To set a new PR;10K;Promoter;0;10;5;5;2;4;5;5;5;5;4;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;To set a new PR;;5;La medalla;Colores de camiseta;1;5;Adidas;Total energy;Rock fm;77,78,80,81,84,85,90,92,93,94,95;3;3;2;2;3;3;3;3;4;5;5;4;5;5;3;5;4;4;5;5;1;4;2;1;5;4;;5;4;5;5;5;1;0;0;0;0;0;2;0;;70;;
26/4/23 4:23;26/4/23 4:31;26/4/23 4:31;451;1;Male;40-44;Madrid's Area;To check it off my bucket list;10K;Promoter;0;9;5;2;2;3;5;5;5;5;2;2;2;5;5;5;5;5;2;5;5;5;5;5;5;5;5;2;5;5;5;5;5;2;5;5;5;5;5;5;3;3;3;3;;To check it off my bucket list;;1;Amigos;Todo genial ;1;6;Adidas ;Plátano de Canarias ;;1,77,78,80,81,94,95,102;2;2;2;2;2;2;2;2;3;4;3;2;3;3;1;3;1;1;1;1;1;3;1;1;2;1;;5;;;4;;1;0;6;0;0;0;0;0;0;0;;
26/4/23 4:26;26/4/23 4:33;26/4/23 4:33;396;1;Male;30-34;Madrid's Area;To set a new PR;10K;Promoter;11;10;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;To set a new PR;;1;el ambiente;Mejorar los puntos de música, en los 10k apenas tocaban;1;4;;;;78,81,84,89;3;3;3;3;3;3;3;3;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;4;;;4;;1;11;10;;;;;;;;;
26/4/23 4:29;26/4/23 4:34;26/4/23 4:34;303;1;Male;25-29;Other Spanish Region;To set a new PR;Half Marathon;Detractor;0;2;4;3;3;2;2;3;2;2;4;3;4;3;3;2;2;2;3;2;2;2;2;3;2;2;1;1;4;2;2;4;4;3;3;2;2;2;4;2;3;3;3;3;;To set a new PR;;5;;;1;3;Coca cola;Adidas;Zurich;1,78,80,81,84,87,94,106;2;2;2;2;2;2;3;3;3;5;3;3;5;3;2;5;2;2;2;2;1;4;1;1;3;1;;4;;;;;2;0;0;;;;;;;;11;11
26/4/23 4:26;26/4/23 4:35;26/4/23 4:35;502;1;Male;35-39;Other Spanish Region;To set a new PR;10K;Passive;3;8;1;2;4;2;5;5;5;5;5;2;5;2;2;3;2;2;3;5;2;3;3;4;2;5;2;2;3;2;2;4;3;3;2;2;3;5;1;5;2;4;3;3;;To set a new PR;;6;Recorrido;Mejorar bolsa del corredor ;1;5;;;;1,77,78,79,80,81,87,92,94,100;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;1;4;1;3;2;1;;;;;;;2;3;2;;;;;;;;7;11
26/4/23 4:29;26/4/23 4:35;26/4/23 4:35;331;1;Male;50-54;Other Spanish Region;To set a new PR;Marathon;Promoter;4;10;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;2;5;5;5;3;4;4;2;2;4;1;5;4;2;5;2;3;5;3;3;3;3;;To set a new PR;;7;;;1;8;ZURICH;PLATANO CANARIAS;TOTAL ENERGIES;1,78,80,81,85,92,94,101,106,107,109;2;2;2;2;2;2;2;2;4;5;5;5;5;5;1;4;1;3;1;1;1;3;1;3;1;1;;4;;2;;;2;2;1;300;150;200;0;50;200;0;11;11
26/4/23 4:28;26/4/23 4:35;26/4/23 4:35;443;1;Male;30-34;Madrid's Area;Other;10K;Passive;0;8;2;5;3;2;2;3;2;3;3;3;2;3;3;2;3;2;3;5;5;2;3;2;2;2;2;3;2;2;2;2;2;3;3;3;5;5;3;5;5;4;4;3;;Other;;4;;;1;4;adidas;monster;zurich;1,77,78,81,84,87,89,92,94,101,106;2;2;2;2;2;2;3;3;4;5;3;2;4;3;2;5;2;2;3;4;1;3;1;1;3;1;;4;;;4;;1;0;0;;;;;;;;;
26/4/23 4:28;26/4/23 4:36;26/4/23 4:36;481;1;Male;30-34;Other Spanish Region;Other;Half Marathon;Promoter;1;10;5;2;2;5;5;5;5;5;2;5;2;5;2;2;5;5;5;2;5;5;3;5;5;5;5;5;5;5;5;3;3;2;3;5;5;5;3;5;4;4;5;4;;Other;Ayudar a un amigo a mejorar su marca;1;Recorrido, organización, voluntarios, ambiente;Liebres de 1h20 ;1;4;Maurten;Adidas;Wong;1,77,78,80,81,84,85,90,92,94,95,97,101,107,108,109;2;3;2;2;2;2;3;3;3;5;4;4;4;3;2;3;2;2;3;3;1;4;1;2;2;1;;4;;;4;4;2;1;1;70;60;30;7;35;0;0;9;9
